"Ano","Semestre","Cód. Disciplina","Cód. Turma","Professor","Cód. Curso","Curso","Porcentagem de Aprovado","Porcentagem de Dispensado","Porcentagem de Reprovado","Porcentagem de Tr.Parcial","Porcentagem de Não Concl.","Porcentagem de CancMatric","Porcentagem de Repr.Freq","Alunos"
"2021","1. Semestre","D200888","10","P888402148",139,"Curso de Bacharelado em Estatística - Noturno",15,3,82,0,0,0,0,33
"2021","1. Semestre","D200888","11","P148855320",521,"Ciências Econômicas - Diurno",31,0,67,2,0,0,0,55
"2021","1. Semestre","D200888","11","P394200218",402,"Engenharia Florestal",54,0,46,0,0,0,0,37
"2021","1. Semestre","D200888","12","P512200642",110,"Química Industrial",0,0,93,0,7,0,0,14
"2021","1. Semestre","D200888","12","P512200642",133,"Química - Bacharelado",20,0,60,13,7,0,0,15
"2021","1. Semestre","D200888","13","P394200218",302,"Engenharia Civil",68,2,18,0,10,2,0,50
"2021","1. Semestre","D200888","14","P888402148",305,"Engenharia Química",33,0,65,0,2,0,0,48
"2021","1. Semestre","D200888","50","P148855320",302,"Engenharia Civil",0,0,100,0,0,0,0,2
"2021","1. Semestre","D200888","50","P148855320",313,"Curso de Engenharia de Produção",0,0,100,0,0,0,0,13
"2021","1. Semestre","D320199","10","A148855320200",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","10","A380683888642",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","10","A512642218320",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","10","A855200218200",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","10","A893683855461",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","11","A218148855402",110,"Química Industrial",100,0,0,0,0,0,0,18
"2021","1. Semestre","D320199","11","A218148855402",133,"Química - Bacharelado",75,4,13,0,4,4,0,24
"2021","1. Semestre","D320199","12","A148855320200",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","12","A380683888642",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","12","A512642218320",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","12","A855200218200",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","12","A893683855461",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","13","A292200218320",307,"Ciência da Computação - Bacharelado",82,0,12,0,0,5,0,73
"2021","1. Semestre","D320199","14","A148855320200",302,"Engenharia Civil",4,1,12,0,2,0,0,50
"2021","1. Semestre","D320199","14","A380683888642",302,"Engenharia Civil",4,1,12,0,2,0,0,50
"2021","1. Semestre","D320199","14","A512642218320",302,"Engenharia Civil",4,1,12,0,2,0,0,50
"2021","1. Semestre","D320199","14","A855200218200",302,"Engenharia Civil",4,1,12,0,2,0,0,50
"2021","1. Semestre","D320199","14","A893683855461",302,"Engenharia Civil",4,1,12,0,2,0,0,50
"2021","1. Semestre","D320199","15","A148855320200",315,"Curso de Engenharia Aeroespacial",11,0,8,0,0,1,0,53
"2021","1. Semestre","D320199","15","A380683888642",315,"Curso de Engenharia Aeroespacial",11,0,8,0,0,1,0,53
"2021","1. Semestre","D320199","15","A512642218320",315,"Curso de Engenharia Aeroespacial",11,0,8,0,0,1,0,53
"2021","1. Semestre","D320199","15","A855200218200",315,"Curso de Engenharia Aeroespacial",11,0,8,0,0,1,0,53
"2021","1. Semestre","D320199","15","A893683855461",315,"Curso de Engenharia Aeroespacial",11,0,8,0,0,1,0,53
"2021","1. Semestre","D320199","16","A806200978642",316,"Curso de Engenharia de Telecomunicações",53,0,35,0,9,4,0,55
"2021","1. Semestre","D320199","17","A148855320200",305,"Engenharia Química",7,0,9,0,2,1,0,47
"2021","1. Semestre","D320199","17","A380683888642",305,"Engenharia Química",7,0,9,0,2,1,0,47
"2021","1. Semestre","D320199","17","A512642218320",305,"Engenharia Química",7,0,9,0,2,1,0,47
"2021","1. Semestre","D320199","17","A855200218200",305,"Engenharia Química",7,0,9,0,2,1,0,47
"2021","1. Semestre","D320199","17","A893683855461",305,"Engenharia Química",7,0,9,0,2,1,0,47
"2021","1. Semestre","D320199","18","A893683855461",109,"Química - Licenciatura",6,3,75,3,8,6,0,36
"2021","1. Semestre","D320199","19","A642946200380",402,"Engenharia Florestal",41,0,52,3,3,0,0,61
"2021","1. Semestre","D320199","50","A218148855402",302,"Engenharia Civil",100,0,0,0,0,0,0,1
"2021","1. Semestre","D320199","50","A218148855402",305,"Engenharia Química",100,0,0,0,0,0,0,2
"2021","1. Semestre","D320199","50","A218148855402",311,"Curso de Engenharia Acústica",100,0,0,0,0,0,0,1
"2021","1. Semestre","D320199","50","A218148855402",313,"Curso de Engenharia de Produção",66,3,22,0,9,0,0,32
"2021","1. Semestre","D320199","50","A218148855402",315,"Curso de Engenharia Aeroespacial",0,0,100,0,0,0,0,1
"2021","1. Semestre","D320200","10","B200380461148",309,"Curso de Engenharia Sanitária e Ambiental",3,0,12,0,2,0,0,21
"2021","1. Semestre","D320200","10","B200380461148",313,"Curso de Engenharia de Produção",3,0,13,1,0,0,0,38
"2021","1. Semestre","D320200","10","B292200218320",309,"Curso de Engenharia Sanitária e Ambiental",3,0,12,0,2,0,0,21
"2021","1. Semestre","D320200","10","B292200218320",313,"Curso de Engenharia de Produção",3,0,13,1,0,0,0,38
"2021","1. Semestre","D320200","10","B320888200683",309,"Curso de Engenharia Sanitária e Ambiental",3,0,12,0,2,0,0,21
"2021","1. Semestre","D320200","10","B320888200683",313,"Curso de Engenharia de Produção",3,0,13,1,0,0,0,38
"2021","1. Semestre","D320200","10","B461200642855",309,"Curso de Engenharia Sanitária e Ambiental",3,0,12,0,2,0,0,21
"2021","1. Semestre","D320200","10","B461200642855",313,"Curso de Engenharia de Produção",3,0,13,1,0,0,0,38
"2021","1. Semestre","D320200","10","B512402380642",309,"Curso de Engenharia Sanitária e Ambiental",3,0,12,0,2,0,0,21
"2021","1. Semestre","D320200","10","B512402380642",313,"Curso de Engenharia de Produção",3,0,13,1,0,0,0,38
"2021","1. Semestre","D320200","10","B888642512642",309,"Curso de Engenharia Sanitária e Ambiental",3,0,12,0,2,0,0,21
"2021","1. Semestre","D320200","10","B888642512642",313,"Curso de Engenharia de Produção",3,0,13,1,0,0,0,38
"2021","1. Semestre","D320200","11","B200380461148",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B292200218320",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B320888200683",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B461200642855",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B512402380642",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B888642512642",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","12","B200380461148",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B292200218320",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B320888200683",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B461200642855",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B512402380642",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B888642512642",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","13","B200380461148",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B292200218320",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B320888200683",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B461200642855",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B512402380642",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B888642512642",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","14","B200380461148",304,"Engenharia Mecânica",3,0,13,0,1,0,0,30
"2021","1. Semestre","D320200","14","B292200218320",304,"Engenharia Mecânica",3,0,13,0,1,0,0,30
"2021","1. Semestre","D320200","14","B320888200683",304,"Engenharia Mecânica",3,0,13,0,1,0,0,30
"2021","1. Semestre","D320200","14","B461200642855",304,"Engenharia Mecânica",3,0,13,0,1,0,0,30
"2021","1. Semestre","D320200","14","B512402380642",304,"Engenharia Mecânica",3,0,13,0,1,0,0,30
"2021","1. Semestre","D320200","14","B888642512642",304,"Engenharia Mecânica",3,0,13,0,1,0,0,30
"2021","1. Semestre","D320200","15","B200380461148",315,"Curso de Engenharia Aeroespacial",9,0,7,0,1,0,0,22
"2021","1. Semestre","D320200","15","B292200218320",315,"Curso de Engenharia Aeroespacial",9,0,7,0,1,0,0,22
"2021","1. Semestre","D320200","15","B320888200683",315,"Curso de Engenharia Aeroespacial",9,0,7,0,1,0,0,22
"2021","1. Semestre","D320200","15","B461200642855",315,"Curso de Engenharia Aeroespacial",9,0,7,0,1,0,0,22
"2021","1. Semestre","D320200","15","B512402380642",315,"Curso de Engenharia Aeroespacial",9,0,7,0,1,0,0,22
"2021","1. Semestre","D320200","15","B888642512642",315,"Curso de Engenharia Aeroespacial",9,0,7,0,1,0,0,22
"2021","1. Semestre","D320200","16","B200380461148",307,"Ciência da Computação - Bacharelado",5,0,11,1,0,0,0,22
"2021","1. Semestre","D320200","16","B292200218320",307,"Ciência da Computação - Bacharelado",5,0,11,1,0,0,0,22
"2021","1. Semestre","D320200","16","B320888200683",307,"Ciência da Computação - Bacharelado",5,0,11,1,0,0,0,22
"2021","1. Semestre","D320200","16","B461200642855",307,"Ciência da Computação - Bacharelado",5,0,11,1,0,0,0,22
"2021","1. Semestre","D320200","16","B512402380642",307,"Ciência da Computação - Bacharelado",5,0,11,1,0,0,0,22
"2021","1. Semestre","D320200","16","B888642512642",307,"Ciência da Computação - Bacharelado",5,0,11,1,0,0,0,22
"2021","1. Semestre","D320200","17","B200380461148",310,"Curso Engenharia de Controle e Automação",4,0,11,1,1,0,0,39
"2021","1. Semestre","D320200","17","B292200218320",310,"Curso Engenharia de Controle e Automação",4,0,11,1,1,0,0,39
"2021","1. Semestre","D320200","17","B320888200683",310,"Curso Engenharia de Controle e Automação",4,0,11,1,1,0,0,39
"2021","1. Semestre","D320200","17","B461200642855",310,"Curso Engenharia de Controle e Automação",4,0,11,1,1,0,0,39
"2021","1. Semestre","D320200","17","B512402380642",310,"Curso Engenharia de Controle e Automação",4,0,11,1,1,0,0,39
"2021","1. Semestre","D320200","17","B888642512642",310,"Curso Engenharia de Controle e Automação",4,0,11,1,1,0,0,39
"2021","1. Semestre","D320200","18","B200380461148",311,"Curso de Engenharia Acústica",3,0,11,2,0,0,0,41
"2021","1. Semestre","D320200","18","B292200218320",311,"Curso de Engenharia Acústica",3,0,11,2,0,0,0,41
"2021","1. Semestre","D320200","18","B320888200683",311,"Curso de Engenharia Acústica",3,0,11,2,0,0,0,41
"2021","1. Semestre","D320200","18","B461200642855",311,"Curso de Engenharia Acústica",3,0,11,2,0,0,0,41
"2021","1. Semestre","D320200","18","B512402380642",311,"Curso de Engenharia Acústica",3,0,11,2,0,0,0,41
"2021","1. Semestre","D320200","18","B888642512642",311,"Curso de Engenharia Acústica",3,0,11,2,0,0,0,41
"2021","1. Semestre","D320200","19","B200380461148",305,"Engenharia Química",6,0,10,0,0,0,0,36
"2021","1. Semestre","D320200","19","B292200218320",305,"Engenharia Química",6,0,10,0,0,0,0,36
"2021","1. Semestre","D320200","19","B320888200683",305,"Engenharia Química",6,0,10,0,0,0,0,36
"2021","1. Semestre","D320200","19","B461200642855",305,"Engenharia Química",6,0,10,0,0,0,0,36
"2021","1. Semestre","D320200","19","B512402380642",305,"Engenharia Química",6,0,10,0,0,0,0,36
"2021","1. Semestre","D320200","19","B888642512642",305,"Engenharia Química",6,0,10,0,0,0,0,36
"2021","1. Semestre","D320200","50","B200380461148",302,"Engenharia Civil",0,0,100,0,0,0,0,1
"2021","1. Semestre","D320200","50","B200380461148",305,"Engenharia Química",0,0,100,0,0,0,0,10
"2021","1. Semestre","D402855","CC","C946200380402",307,"Ciência da Computação - Bacharelado",42,0,58,0,0,0,0,24
"2021","1. Semestre","D402855","SI1","C200380893402",314,"Bacharelado em Sistemas de Informação",29,0,71,0,0,0,0,7
"2021","1. Semestre","D888148","CC1","C320402855200",307,"Ciência da Computação - Bacharelado",68,0,21,0,0,11,0,19
"2021","1. Semestre","D888148","CC2","C380148200685",307,"Ciência da Computação - Bacharelado",72,0,17,0,0,11,0,18
"2021","1. Semestre","D888148","SI1","C320402855200",314,"Bacharelado em Sistemas de Informação",20,0,80,0,0,0,0,5
"2021","1. Semestre","D888148","SI2","C380148200685",314,"Bacharelado em Sistemas de Informação",20,0,80,0,0,0,0,5
"2021","1. Semestre","D888200","CC1","E681200461218",307,"Ciência da Computação - Bacharelado",84,0,5,0,0,11,0,19
"2021","1. Semestre","D888200","CC2","E978402380148",307,"Ciência da Computação - Bacharelado",56,0,33,0,0,11,0,18
"2021","1. Semestre","D888200","SI1","E681200461218",314,"Bacharelado em Sistemas de Informação",20,0,80,0,0,0,0,5
"2021","1. Semestre","D888200","SI2","E978402380148",314,"Bacharelado em Sistemas de Informação",60,0,40,0,0,0,0,5
"2021","2. Semestre","D200888","10","P888402148",313,"Curso de Engenharia de Produção",6,8,78,0,0,8,0,36
"2021","2. Semestre","D200888","11","P394200218",402,"Engenharia Florestal",66,0,30,0,4,0,0,53
"2021","2. Semestre","D200888","12","P148855320",307,"Ciência da Computação - Bacharelado",27,0,61,12,0,0,0,49
"2021","2. Semestre","D200888","13","P946200888",302,"Engenharia Civil",34,2,64,0,0,0,0,47
"2021","2. Semestre","D200888","14","P512200642",305,"Engenharia Química",5,3,93,0,0,0,0,40
"2021","2. Semestre","D200888","15","P200218642",504,"Ciências Econômicas - Noturno",48,0,44,8,0,0,0,52
"2021","2. Semestre","D200888","T50REA","P394200218",305,"Engenharia Química",81,0,19,0,0,0,0,21
"2021","2. Semestre","D320199","10","A148855320200",303,"Engenharia Elétrica",1,1,17,0,0,0,0,52
"2021","2. Semestre","D320199","10","A380683888642",303,"Engenharia Elétrica",1,1,17,0,0,0,0,52
"2021","2. Semestre","D320199","10","A512642218320",303,"Engenharia Elétrica",1,1,17,0,0,0,0,52
"2021","2. Semestre","D320199","10","A855200218200",303,"Engenharia Elétrica",1,1,17,0,0,0,0,52
"2021","2. Semestre","D320199","10","A893683855461",303,"Engenharia Elétrica",1,1,17,0,0,0,0,52
"2021","2. Semestre","D320199","11","A148855320200",312,"Curso de Engenharia de Computação",2,2,13,0,0,3,0,44
"2021","2. Semestre","D320199","11","A380683888642",312,"Curso de Engenharia de Computação",2,2,13,0,0,3,0,44
"2021","2. Semestre","D320199","11","A512642218320",312,"Curso de Engenharia de Computação",2,2,13,0,0,3,0,44
"2021","2. Semestre","D320199","11","A855200218200",312,"Curso de Engenharia de Computação",2,2,13,0,0,3,0,44
"2021","2. Semestre","D320199","11","A893683855461",312,"Curso de Engenharia de Computação",2,2,13,0,0,3,0,44
"2021","2. Semestre","D320199","12","A148855320200",304,"Engenharia Mecânica",0,1,18,0,0,0,0,49
"2021","2. Semestre","D320199","12","A380683888642",304,"Engenharia Mecânica",0,1,18,0,0,0,0,49
"2021","2. Semestre","D320199","12","A512642218320",304,"Engenharia Mecânica",0,1,18,0,0,0,0,49
"2021","2. Semestre","D320199","12","A855200218200",304,"Engenharia Mecânica",0,1,18,0,0,0,0,49
"2021","2. Semestre","D320199","12","A893683855461",304,"Engenharia Mecânica",0,1,18,0,0,0,0,49
"2021","2. Semestre","D320199","13","A888402148380",313,"Curso de Engenharia de Produção",68,7,16,0,2,7,0,44
"2021","2. Semestre","D320199","14","A148855320200",302,"Engenharia Civil",3,1,16,0,0,0,0,47
"2021","2. Semestre","D320199","14","A380683888642",302,"Engenharia Civil",3,1,16,0,0,0,0,47
"2021","2. Semestre","D320199","14","A512642218320",302,"Engenharia Civil",3,1,16,0,0,0,0,47
"2021","2. Semestre","D320199","14","A855200218200",302,"Engenharia Civil",3,1,16,0,0,0,0,47
"2021","2. Semestre","D320199","14","A893683855461",302,"Engenharia Civil",3,1,16,0,0,0,0,47
"2021","2. Semestre","D320199","15","A148855320200",310,"Curso Engenharia de Controle e Automação",1,2,16,0,1,1,0,34
"2021","2. Semestre","D320199","15","A380683888642",310,"Curso Engenharia de Controle e Automação",1,2,16,0,1,1,0,34
"2021","2. Semestre","D320199","15","A512642218320",310,"Curso Engenharia de Controle e Automação",1,2,16,0,1,1,0,34
"2021","2. Semestre","D320199","15","A855200218200",310,"Curso Engenharia de Controle e Automação",1,2,16,0,1,1,0,34
"2021","2. Semestre","D320199","15","A893683855461",310,"Curso Engenharia de Controle e Automação",1,2,16,0,1,1,0,34
"2021","2. Semestre","D320199","16","A148855320200",314,"Bacharelado em Sistemas de Informação",3,2,15,0,1,0,0,33
"2021","2. Semestre","D320199","16","A380683888642",314,"Bacharelado em Sistemas de Informação",3,2,15,0,1,0,0,33
"2021","2. Semestre","D320199","16","A512642218320",314,"Bacharelado em Sistemas de Informação",3,2,15,0,1,0,0,33
"2021","2. Semestre","D320199","16","A855200218200",314,"Bacharelado em Sistemas de Informação",3,2,15,0,1,0,0,33
"2021","2. Semestre","D320199","16","A893683855461",314,"Bacharelado em Sistemas de Informação",3,2,15,0,1,0,0,33
"2021","2. Semestre","D320199","17","A394200218642",305,"Engenharia Química",56,6,22,0,6,9,0,32
"2021","2. Semestre","D320199","18","A218148855402",311,"Curso de Engenharia Acústica",26,0,67,0,3,5,0,39
"2021","2. Semestre","D320199","19","A642946200380",402,"Engenharia Florestal",40,3,53,3,0,0,0,30
"2021","2. Semestre","D320199","20","A292200218320",309,"Curso de Engenharia Sanitária e Ambiental",9,3,82,0,3,3,0,33
"2021","2. Semestre","D320199","T50REA","A292200218320",305,"Engenharia Química",59,0,41,0,0,0,0,22
"2021","2. Semestre","D320199","T50REA","A292200218320",315,"Curso de Engenharia Aeroespacial",33,0,67,0,0,0,0,3
